google_type,google_category_name,leadseason_industry,season_peak,contact_start,q4_priority,recommended_product,lead_reason_template,call_script_template,source_url,source_quality,confidence
beauty_salon,Beauty salon,Medycyna / stomatologia / beauty,"przed wakacjami oraz listopad-grudzien","marzec-maj oraz wrzesien-listopad",MEDIUM_HIGH,"SEO lokalne / Google Ads / wizytowka Google / Social Media","Beauty ma piki przed wakacjami, swietami i sylwestrem. Q4 jest dobrym momentem na zabiegi okazjonalne i pakiety prezentowe.","Dzwonie, bo przed swietami i sylwestrem klienci czesciej szukaja zabiegow beauty. Warto przygotowac widocznosc lokalna i oferty sezonowe.","https://trends-pl.booksy.com/",BRANZOWE,70
hair_care,Hair care,Medycyna / stomatologia / beauty,"przed wakacjami oraz listopad-grudzien","marzec-maj oraz wrzesien-listopad",MEDIUM_HIGH,"SEO lokalne / wizytowka Google / Social Media","Fryzjerstwo i uslugi beauty korzystaja z okazji sezonowych, swiat i sylwestra.","Dzwonie, bo przed swietami i sylwestrem rosnie popyt na uslugi beauty. Mozemy wzmocnic widocznosc salonu lokalnie.","https://trends-pl.booksy.com/",BRANZOWE,70
spa,Spa,Medycyna / stomatologia / beauty,"przed wakacjami oraz listopad-grudzien","marzec-maj oraz wrzesien-listopad",MEDIUM_HIGH,"SEO lokalne / Google Ads / vouchery prezentowe","SPA i wellness moga wykorzystac Q4 pod vouchery, prezenty i okres swiateczno-noworoczny.","Dzwonie, bo Q4 to dobry moment na promocje voucherow i pakietow prezentowych. Mozemy przygotowac kampanie zanim zacznie sie sezon zakupow.","https://beautyrazem.pl/juz-4-mln-polakow-zdecydowalo-sie-na-zabieg-medycyny-estetycznej-raport/",BRANZOWE,65
dentist,Dentist,Medycyna / stomatologia / beauty,"caly rok, piki przed wakacjami i koncem roku","marzec-maj oraz wrzesien-listopad",MEDIUM,"SEO lokalne / Google Ads / wizytowka Google","Stomatologia ma charakter calosezonowy, ale Q4 moze byc dobrym momentem na zabiegi planowe przed koncem roku.","Dzwonie, bo gabinety medyczne i stomatologiczne moga wykorzystac Q4 na pozyskanie lokalnych pacjentow i zaplanowanie zabiegow.","https://beautyrazem.pl/juz-4-mln-polakow-zdecydowalo-sie-na-zabieg-medycyny-estetycznej-raport/",BRANZOWE,55
doctor,Doctor,Medycyna / stomatologia / beauty,"caly rok, piki przed wakacjami i koncem roku","marzec-maj oraz wrzesien-listopad",MEDIUM,"SEO lokalne / Google Ads / wizytowka Google","Uslugi medyczne sa mniej sezonowe, ale widocznosc lokalna i terminy specjalistyczne sa stale istotne.","Dzwonie, bo w uslugach medycznych widocznosc lokalna mocno wplywa na liczbe zapisow. Mozemy sprawdzic, czy placowka wykorzystuje potencjal Google.","https://beautyrazem.pl/juz-4-mln-polakow-zdecydowalo-sie-na-zabieg-medycyny-estetycznej-raport/",BRANZOWE,50
lodging,Lodging,Hotel / noclegi / turystyka,"lipiec-sierpien, ferie, sylwester, dlugie weekendy","luty-kwiecien oraz wrzesien-listopad",MEDIUM_HIGH,"SEO lokalne / Google Ads / content sezonowy","Noclegi maja silny sezon letni, ale Q4 moze przygotowac oferte pod sylwestra, ferie i zimowe wyjazdy.","Dzwonie, bo po sezonie letnim warto przygotowac widocznosc pod sylwestra, ferie i zimowe pobyty. To dobry moment na kampanie z wyprzedzeniem.","https://stat.gov.pl/obszary-tematyczne/kultura-turystyka-sport/turystyka/",OFICJALNE,75
hotel,Hotel,Hotel / noclegi / turystyka,"lipiec-sierpien, ferie, sylwester, dlugie weekendy","luty-kwiecien oraz wrzesien-listopad",MEDIUM_HIGH,"SEO lokalne / Google Ads / content sezonowy","Hotele moga w Q4 sprzedawac pobyty sylwestrowe, swiateczne, ferie i eventy firmowe.","Dzwonie, bo Q4 to dobry moment na promowanie pobytow sylwestrowych, swiatecznych i ferii. Mozemy przygotowac kampanie zanim klienci wybiora obiekt.","https://stat.gov.pl/files/gfx/portalinformacyjny/pl/defaultaktualnosci/5494/18/3/1/wykorzystanie_turystycznych_obiektow_noclegowych_w_2024_r.pdf",OFICJALNE,75
guest_house,Guest house,Hotel / noclegi / turystyka,"lipiec-sierpien, ferie, sylwester, dlugie weekendy","luty-kwiecien oraz wrzesien-listopad",MEDIUM,"SEO lokalne / Google Ads / content sezonowy","Pensjonaty i mniejsze obiekty maja sezon letni oraz okazje zimowo-sylwestrowe.","Dzwonie, bo warto juz teraz przygotowac widocznosc pod sylwestra, ferie i kolejne dlugie weekendy.","https://stat.gov.pl/obszary-tematyczne/kultura-turystyka-sport/turystyka/",OFICJALNE,65
home_goods_store,Home goods store,E-commerce / wyposażenie domu,"listopad-grudzien oraz sezon slubny maj-wrzesien","wrzesien-pazdziernik oraz marzec-kwiecien",HIGH,"SEO e-commerce / Google Ads produktowe / content sezonowy","Wyposazenie domu, dekoracje i produkty prezentowe zyskuja w Q4 przy Black Friday i zakupach swiatecznych.","Dzwonie, bo Q4 to najmocniejszy okres dla sklepow z prezentami i wyposazeniem domu. Warto przygotowac SEO i kampanie produktowe przed Black Friday.","https://www.shoper.pl/learn/artykul/co-sie-sprzedaje-w-q4-dane-z-raportu-shopera-przewodnik-na-podstawie-danych-z-20-000-sklepow",BRANZOWE,85
furniture_store,Furniture store,E-commerce / wyposażenie domu,"listopad-grudzien oraz wiosna","wrzesien-pazdziernik oraz luty-marzec",MEDIUM_HIGH,"SEO e-commerce / Google Ads / kampanie kategorii","Meble i wyposazenie domu moga korzystac z Q4 oraz okresow remontowych/wiosennych.","Dzwonie, bo sklep z wyposazeniem domu moze wykorzystac Q4 pod promocje i zakupy prezentowe. Warto przygotowac widocznosc kategorii.","https://ewp.pl/iv-kwartal-w-e-commerce-wyniki-raportu-shopera/",BRANZOWE,70
store,Store,E-commerce / wyposażenie domu,"zalezne od asortymentu, czesto listopad-grudzien","wrzesien-pazdziernik",MEDIUM,"SEO / Google Ads / analiza kategorii","Ogólny typ sklepu wymaga weryfikacji asortymentu ze strony WWW, ale Q4 jest potencjalnie wazny dla retail/e-commerce.","Dzwonie, bo dla wielu sklepow Q4 jest kluczowy, ale warto sprawdzic konkretne kategorie i przygotowac kampanie pod sezon.","https://gemius.com/documents/81/RAPORT_E-COMMERCE_2025.pdf",BRANZOWE,55
moving_company,Moving company,Przeprowadzki / transport lokalny,"maj-wrzesien oraz koniec roku","marzec-maj oraz wrzesien-listopad",MEDIUM_HIGH,"SEO lokalne / Google Ads / AEO","Przeprowadzki maja sezon letni, ale koniec roku moze generowac relokacje biur i mieszkan.","Dzwonie, bo koniec roku to moment relokacji i zmian organizacyjnych. Warto przygotowac widocznosc pod lokalne zapytania o przeprowadzki.","https://trends.google.com/trends/",TRENDS_DO_WALIDACJI,55
storage,Storage,Przeprowadzki / transport lokalny,"maj-wrzesien oraz koniec roku","marzec-maj oraz wrzesien-listopad",MEDIUM,"SEO lokalne / Google Ads","Magazynowanie laczy sie z przeprowadzkami, remontami i relokacjami sezonowymi.","Dzwonie, bo uslugi magazynowania moga lapac popyt przy przeprowadzkach i relokacjach. Warto zweryfikowac widocznosc lokalna.","https://trends.google.com/trends/",TRENDS_DO_WALIDACJI,50
plumber,Plumber,Budownictwo / instalacje,"marzec-pazdziernik oraz awarie zima","styczen-kwiecien oraz sierpien-wrzesien",MEDIUM,"SEO lokalne / Google Ads / wizytowka Google","Instalacje i awarie maja sezon remontowy oraz potrzeby przygotowania do zimy.","Dzwonie, bo koniec lata i jesien to czas domykania remontow i przygotowan instalacji do zimy. Mozemy wzmocnic widocznosc lokalna.","https://www.rp.pl/nieruchomosci/art42194881-sezon-na-uslugi-otwarty-polacy-chca-budowac-remontowac-i-urzadzac-ogrody",BRANZOWE,65
electrician,Electrician,Budownictwo / instalacje,"marzec-pazdziernik oraz awarie zima","styczen-kwiecien oraz sierpien-wrzesien",MEDIUM,"SEO lokalne / Google Ads / wizytowka Google","Elektrycy i instalatorzy korzystaja z sezonu remontowego oraz lokalnych zapytan awaryjnych.","Dzwonie, bo uslugi instalacyjne mocno zależą od widocznosci lokalnej. Jesien to dobry moment na zlapaniem zapytan remontowych i awaryjnych.","https://biuroprasowe.oferteo.pl/374224-2024-na-rynku-uslug-podsumowanie",BRANZOWE,60
roofing_contractor,Roofing contractor,Budownictwo / remonty,"marzec-pazdziernik","styczen-kwiecien oraz sierpien-wrzesien",MEDIUM,"SEO lokalne / Google Ads / landing page uslug","Dachy i prace zewnetrzne maja sezon pogodowy, ale jesienia trwa domykanie zlecen przed zima.","Dzwonie, bo przed zima klienci czesto szukaja napraw i prac dachowych. Warto zadbac o widocznosc lokalna na ten ogon sezonu.","https://www.rp.pl/nieruchomosci/art42194881-sezon-na-uslugi-otwarty-polacy-chca-budowac-remontowac-i-urzadzac-ogrody",BRANZOWE,60
general_contractor,General contractor,Budownictwo / remonty,"marzec-pazdziernik","styczen-kwiecien oraz sierpien-wrzesien",MEDIUM,"SEO lokalne / Google Ads / content poradnikowy","Firmy remontowo-budowlane maja sezon od wiosny do jesieni, z drugim push przed zima.","Dzwonie, bo jesien to dobry moment na domykanie zlecen remontowych i planowanie kolejnego sezonu. Mozemy sprawdzic widocznosc firmy w Google.","https://biuroprasowe.oferteo.pl/374224-2024-na-rynku-uslug-podsumowanie",BRANZOWE,65
air_conditioning_contractor,Air conditioning contractor,Budownictwo / instalacje,"maj-sierpien","styczen-marzec",LOW_Q4,"Google Ads / SEO lokalne / AEO","Klimatyzacja ma silny sezon przed i w trakcie upalow. Q4 nie jest glownym momentem na nowa sprzedaz klimatyzacji.","Dzwonie, bo w klimatyzacji najlepsze efekty daje przygotowanie kampanii przed upalami. Warto zaplanowac dzialania z wyprzedzeniem na kolejny sezon.","https://biuroprasowe.oferteo.pl/421008-raport-z-rynku-montaz-klimatyzacji",BRANZOWE,85
hvac_contractor,HVAC contractor,Budownictwo / instalacje,"maj-sierpien oraz sezon grzewczy dla pomp/serwisu","styczen-marzec oraz wrzesien",MEDIUM,"SEO lokalne / Google Ads / kampanie serwisowe","HVAC ma sezon klimatyzacji latem i potencjalny temat serwisowo-grzewczy jesienia.","Dzwonie, bo HVAC ma dwa tematy sezonowe: chlodzenie przed latem i serwis/ogrzewanie przed zima. Warto dopasowac kampanie do aktualnego sezonu.","https://biuroprasowe.oferteo.pl/421008-raport-z-rynku-montaz-klimatyzacji",BRANZOWE,70
landscaper,Landscaper,Ogrody / usługi ogrodnicze,"marzec-czerwiec oraz jesienne porzadki","styczen-marzec oraz wrzesien",LOW_MEDIUM,"SEO lokalne / Google Ads / tresci sezonowe","Ogrody maja glowny peak wiosenny. Q4 to raczej przygotowanie ogrodu do zimy i porzadki jesienne.","Dzwonie, bo jesienia czesc klientow szuka porzadkow i przygotowania ogrodu do zimy, ale glowna kampanie warto planowac przed wiosna.","https://semcore.pl/semcore-lab/raport-sxo-e-commerce-dla-branzy-ogrodniczej/",BRANZOWE,70
garden_center,Garden center,Ogrody / usługi ogrodnicze,"marzec-czerwiec oraz sezon letni","styczen-marzec",LOW_Q4,"SEO e-commerce / Google Ads / content sezonowy","Branza ogrodnicza ma najwieksze zainteresowanie w sezonie wiosenno-letnim.","Dzwonie, bo dla ogrodnictwa kluczowe jest przygotowanie widocznosci przed wiosna. Q4 moze byc dobrym czasem na planowanie SEO pod kolejny sezon.","https://semcore.pl/semcore-lab/raport-sxo-e-commerce-dla-branzy-ogrodniczej/",BRANZOWE,80
florist,Florist,Kwiaciarnia / prezenty / okazje,"walentynki, dzien kobiet, dzien matki, listopad-grudzien","styczen, luty, kwiecien, pazdziernik-listopad",MEDIUM_HIGH,"SEO lokalne / Google Ads / kampanie okazjonalne","Kwiaciarnie maja wiele okazji sezonowych, a Q4 obejmuje Wszystkich Swietych, swieta i prezenty.","Dzwonie, bo kwiaciarnie moga wykorzystac Q4 pod okazje swiateczne i lokalne zapytania prezentowe. Warto przygotowac kampanie z wyprzedzeniem.","https://trends.google.com/trends/",TRENDS_DO_WALIDACJI,55
toy_store,Toy store,E-commerce / wyposażenie domu,"listopad-grudzien","wrzesien-pazdziernik",HIGH,"SEO e-commerce / Google Ads produktowe / kampanie swiateczne","Zabawki i prezenty sa naturalnie mocne w Q4, szczegolnie Black Friday i grudzien.","Dzwonie, bo Q4 to kluczowy czas dla zabawek i prezentow. Warto przygotowac widocznosc produktow przed Black Friday i swietami.","https://www.shoper.pl/learn/artykul/co-sie-sprzedaje-w-q4-dane-z-raportu-shopera-przewodnik-na-podstawie-danych-z-20-000-sklepow",BRANZOWE,85
clothing_store,Clothing store,E-commerce / moda,"listopad-grudzien oraz wyprzedaze sezonowe","wrzesien-pazdziernik",MEDIUM_HIGH,"SEO e-commerce / Google Ads / kampanie promocyjne","Moda korzysta z Q4, Black Friday, prezentow i wyprzedazy sezonowych.","Dzwonie, bo Q4 to mocny okres promocyjny dla sklepow modowych. Mozemy przygotowac kampanie pod Black Friday i prezenty.","https://gemius.com/documents/81/RAPORT_E-COMMERCE_2025.pdf",BRANZOWE,65
electronics_store,Electronics store,E-commerce / elektronika,"listopad-grudzien","wrzesien-pazdziernik",HIGH,"Google Ads produktowe / SEO e-commerce / kampanie Q4","Elektronika jest silna w Black Friday i zakupach prezentowych.","Dzwonie, bo elektronika mocno korzysta z Black Friday i zakupow swiatecznych. Warto przygotowac kampanie zanim zacznie sie pik wyszukiwan.","https://www.shoper.pl/learn/artykul/co-sie-sprzedaje-w-q4-dane-z-raportu-shopera-przewodnik-na-podstawie-danych-z-20-000-sklepow",BRANZOWE,80
travel_agency,Travel agency,Hotel / noclegi / turystyka,"ferie, wakacje, dlugie weekendy, sylwester","wrzesien-listopad oraz luty-kwiecien",MEDIUM_HIGH,"SEO / Google Ads / content sezonowy","Biura podrozy i turystyka moga przygotowywac Q4 pod sylwestra, ferie i przedsprzedaz sezonu.","Dzwonie, bo jesien to dobry moment na promowanie ferii, sylwestra i planowania wyjazdow. Mozemy przygotowac widocznosc ofert sezonowych.","https://stat.gov.pl/obszary-tematyczne/kultura-turystyka-sport/turystyka/",OFICJALNE,65
gym,Gym,Fitness / sport / zdrowie,"styczen-luty oraz przed wakacjami","grudzien-styczen oraz marzec-maj",MEDIUM_HIGH,"SEO lokalne / Google Ads / Social Media","Fitness ma mocny peak postanowien noworocznych oraz przygotowan do wakacji. Q4 jest dobry do przygotowania styczniowej kampanii.","Dzwonie, bo grudzien/styczen to moment postanowien noworocznych. Warto przygotowac kampanie klubu zanim klienci zaczna szukac miejsca do treningu.","https://trends.google.com/trends/",TRENDS_DO_WALIDACJI,55
accounting,Accounting,Księgowość / biura rachunkowe,"styczen-kwiecien oraz koniec roku podatkowego","listopad-styczen",MEDIUM,"SEO lokalne / Google Ads / content ekspercki","Ksiegowosc ma piki przy rozliczeniach, zamknieciu roku i zmianach podatkowych.","Dzwonie, bo koniec roku i poczatek roku to moment, gdy firmy szukaja wsparcia ksiegowego i podatkowego. Warto przygotowac widocznosc ekspercka.","https://trends.google.com/trends/",TRENDS_DO_WALIDACJI,50
lawyer,Lawyer,Prawo / kancelarie prawne,"caly rok, piki zalezne od tematu","caly rok",LOW_MEDIUM,"SEO lokalne / content ekspercki / Google Ads","Uslugi prawne sa mniej sezonowe, ale mocno intencyjne i lokalne.","Dzwonie, bo kancelarie czesto pozyskuja klientow z konkretnych zapytan problemowych. Warto sprawdzic widocznosc lokalna i ekspercka.","https://trends.google.com/trends/",TRENDS_DO_WALIDACJI,45
