taxonomy_id,branza_glowna,podbranza,kategoria_uslugowa,usluga_glowna,synonimy,google_types,keywords_pl,model_domyslny,status
MOTO-MYJNIA,Motoryzacja / opony / wulkanizacja,Myjnie i detailing,Usługa cykliczna,Mycie i detailing samochodowy,myjnia|detailing|car wash,car_wash,myjnia|detailing|kosmetyka samochodowa,B2C,aktywna
GASTRO-REST,Gastronomia / restauracje / eventy,Restauracje,Usługa lokalowa,Restauracja / lokal gastronomiczny,restauracja|restaurant,restaurant,restauracja|restaurant,B2C,aktywna
GASTRO-CATERING,Gastronomia / restauracje / eventy,Catering i eventy,Usługa na zamówienie,Catering i obsługa eventów,catering|event venue,catering|event_venue,catering|wesele|impreza|bankiet,Mieszany,aktywna
EDU-SZKJEZ,Edukacja / kursy / szkoły językowe,Szkoły językowe,Zajęcia cykliczne,Kursy językowe,szkoła językowa|kurs językowy|language school,language_school,szkoła językowa|angielski|niemiecki|kurs,B2C,aktywna
EDU-PLACOWKA,Edukacja / kursy / szkoły językowe,Placówki edukacyjne,Instytucja,Szkoła / uczelnia / placówka,szkoła|uczelnia|university|school,school|university,szkoła|liceum|technikum|uczelnia,Mieszany,aktywna
MED-BEAUTY-SALON,Medycyna / stomatologia / beauty,Salony urody,Usługa cykliczna,Usługi kosmetyczne i fryzjerskie,salon kosmetyczny|fryzjer|beauty salon|hair care,beauty_salon|hair_care,salon kosmetyczny|fryzjer|kosmetologia,B2C,aktywna
MED-STOMAT,Medycyna / stomatologia / beauty,Stomatologia,Usługa medyczna,Usługi stomatologiczne,stomatolog|dentysta|dentist,dentist,stomatolog|dentysta|implanty,B2C,aktywna
MED-GABINET,Medycyna / stomatologia / beauty,Gabinety lekarskie,Usługa medyczna,Konsultacje i zabiegi medyczne,gabinet lekarski|doctor|fizjoterapia,doctor,gabinet lekarski|przychodnia|poradnia lekarska|lekarz specjalista,B2C,aktywna
HOTEL-NOCLEG,Hotel / noclegi / turystyka,Baza noclegowa,Usługa lokalowa,Noclegi i pobyty,hotel|pensjonat|lodging|guest house,hotel|lodging|guest_house,hotel|noclegi|pensjonat|apartamenty,B2C,aktywna
ECOM-DOM,E-commerce / wyposażenie domu,Sklep z wyposażeniem domu,Sprzedaż online,Sprzedaż wyposażenia domu,sklep z wyposażeniem domu|home goods|furniture store,home_goods_store|furniture_store,wyposażenie domu|meble|dekoracje,B2C,aktywna
PRZEP-TRANSP,Przeprowadzki / transport lokalny,Przeprowadzki,Usługa na zamówienie,Przeprowadzki i transport mebli,przeprowadzki|moving company,moving_company,przeprowadzki|transport mebli|relokacje,Mieszany,aktywna
B2B-METAL,B2B / produkcja przemysłowa,Metalurgia / konstrukcje stalowe,Produkcja,Obróbka metali i konstrukcje stalowe,konstrukcje stalowe|obróbka metali|ogrodzenia metalowe|zakład tokarsko-ślusarski,,konstrukcje stalowe|obróbka metali|ogrodzenia|balustrady|kraty|tokarski|tokarskie|tokarsko|ślusarski|ślusarskie|spawanie|toczenie|frezowanie,B2B,aktywna
B2B-OPAK,B2B / produkcja przemysłowa,Opakowania,Produkcja,Produkcja opakowań,opakowania|kartony|opakowania tekturowe,,opakowania|kartony|blistry|folie,B2B,aktywna
B2B-MEBLE,B2B / produkcja przemysłowa,Meble na wymiar,Produkcja,Produkcja mebli na zamówienie,meble na wymiar|producent mebli,,meble na wymiar|kuchnie na wymiar|producent mebli,Mieszany,aktywna
B2B-POLIGR,B2B / produkcja przemysłowa,Poligrafia i reklama wizualna,Usługa produkcyjna,Druk i oznakowanie reklamowe,drukarnia|poligrafia|oznakowanie,,drukarnia|poligrafia|druk offsetowy|neon|reklama wielkoformatowa,B2B,aktywna
B2B-BIURO,B2B / produkcja przemysłowa,Sprzęt biurowy,Sprzedaż i serwis,Sprzęt i urządzenia biurowe,drukarki|kserokopiarki|kasy fiskalne,,kserokopiarki|drukarki|kasy fiskalne|urządzenia biurowe,B2B,aktywna
B2B-RECYKLING,B2B / produkcja przemysłowa,Recykling / gospodarka odpadami,Usługa,Skup i recykling surowców,złom|recykling|odpady,,złom|recykling|skup surowców|odpady,B2B,aktywna
B2B-DREWNO,B2B / produkcja przemysłowa,Obróbka drewna / tartaki,Produkcja,Przetwórstwo drewna,tartak|obróbka drewna|palety drewniane,,tartak|palety drewniane|wyroby tartaczne,B2B,aktywna
B2B-AUTOMAT,B2B / produkcja przemysłowa,Automatyka i maszyny przemysłowe,Usługa/produkcja,Automatyzacja i serwis maszyn,automatyka przemysłowa|CNC|maszyny,,automatyka przemysłowa|serwis CNC|kompresory|maszyny produkcyjne,B2B,aktywna
B2B-LASER,B2B / produkcja przemysłowa,Cięcie / grawerowanie laserowe,Usługa produkcyjna,Cięcie i grawerowanie laserowe,cięcie laserowe|grawerowanie|laser cutting,,cięcie laserowe|grawerowanie|wypalarka,Mieszany,aktywna
B2B-TWORZYWA,B2B / produkcja przemysłowa,Tworzywa sztuczne,Produkcja,Przetwórstwo tworzyw sztucznych,tworzywa sztuczne|plastik|przetwórstwo,,tworzywa sztuczne|przetwórstwo|formowanie rotacyjne,B2B,aktywna
PRAWO-KANC,Prawo / kancelarie prawne,Kancelarie prawne,Usługi profesjonalne,Obsługa prawna,adwokat|radca prawny|kancelaria|lawyer,lawyer,adwokat|radca prawny|kancelaria adwokacka,Mieszany,aktywna
KSIEG-BIURO,Księgowość / biura rachunkowe,Biura rachunkowe,Usługi profesjonalne,Obsługa księgowa,biuro rachunkowe|księgowość|accounting,accounting,biuro rachunkowe|księgowość|doradztwo podatkowe,B2B,aktywna
MOTO-TACHO,Motoryzacja,Serwis tachografow,Serwis specjalistyczny,Legalizacja i serwis tachografow,tachograf|tachografy|legalizacja tachografu,car_repair|auto_parts_store,tachograf|tachografy|legalizacja tachografu|kalibracja tachografu|ogranicznik predkosci,B2B,aktywna
B2B-PALETY,B2B / produkcja przemysłowa,Palety i opakowania drewniane,Produkcja,Produkcja i sprzedaż palet drewnianych,palety|palety drewniane|produkcja palet,,palety|palety drewniane|produkcja palet|skup palet|sprzedaz palet,B2B,aktywna
MED-PSYCHOLOG,Medycyna / zdrowie,Psychologia i badania psychologiczne,Usluga specjalistyczna,Konsultacje i badania psychologiczne,psycholog|psychoterapia|badania psychologiczne,medical_clinic,psycholog|psychoterapia|badania psychologiczne|poradnictwo psychologiczne|psychotesty,Mieszany,aktywna
FLOR-KWIAC,Kwiaciarnia / prezenty / okazje,Kwiaciarnie,Sprzedaż,Kwiaciarnia i bukiety okazjonalne,kwiaciarnia|florysta|florist,florist,kwiaciarnia|kwiaty|bukiety|florysta,B2C,aktywna
FIT-KLUB,Fitness / sport / zdrowie,Kluby fitness i siłownie,Usługa cykliczna,Karnety i zajęcia fitness,siłownia|klub fitness|gym,gym,siłownia|klub fitness|karnet|trening,B2C,aktywna
ECOM-MODA,E-commerce / moda,Sklep odzieżowy online,Sprzedaż online,Sprzedaż odzieży i akcesoriów,sklep odzieżowy|clothing store|moda,clothing_store,odzież|moda|ubrania|sklep odzieżowy,B2C,aktywna
ECOM-ELEKTRO,E-commerce / elektronika,Sklep elektroniczny online,Sprzedaż online,Sprzedaż elektroniki i RTV/AGD,sklep elektroniczny|electronics store|RTV AGD,electronics_store,elektronika|RTV|AGD|sklep elektroniczny,B2C,aktywna
